pais_de_origem;razao_social;cnpj;logradouro;cidade;uf;cep;e_mail;cotm;vigencia Mês;Vigência Dia;Vigência Ano
BRASIL;Transrodoforte Transportadora Internacional Ltda;5993759000136;ROD BR-277 nº 10595, SALA 19, KM 720, ANEXO POSTO GASPARIN - BAIRRO NOVO MUNDO;;PR;85862000;rh@transrodoforte.com.br;1249-0522;5;5;2032
BRASIL;Tropical Transportes Ipiranga Ltda;42310177000134;Rua Francisco Eugenio, 329 sala 602 - Parte;;RJ;20941900;celioap@ipiranga.com.br;0074-0505;6;7;2015
BRASIL;V Pilati Empresa De Transportes Rodoviarios;81127144000105;Rodovia BR 277 - km 726 - Bairro Três Lagoas;;PR;85867000;transpilati@transpilati.com.br;0142-1005;5;26;2025
BRASIL;Yes Brazil Express Cargas Ltda;2006743000102;RUA JOSE FERNANDES TEIXEIRA (ZUZA), 1091 - VILA ROSA;;SP;6317270;contab.luz@terra.com.br;1037-1119;11;12;2029
ALEMANHA;HAPAG-LLOYD AG;8219447000168;Ballindamm, 25 - 20095 Hamburg - Germany;;;;intimacoes@hlag.com;0696-0715;6;23;2035
BRASIL;Greca Transportes De Cargas S.A.;242640000108;Avenida das Araucarias nº 5126 - Chapada;;PR;83707000;andrea@grecaasfaltos.com.br;0510-0812;6;22;2032
CHILE; CSAV AUSTRAL SPA;71015;14 Norte 976, Piso 12, Viña del Mar;;;;intimacoes@hlag.com;0710-0915;7;30;2035
CHILE; CSAV AUSTRAL SPA;71015;14 Norte 976, Piso 12, Viña del Mar;;;;luanabrancacio@hotmail.com;0710-0915;7;30;2035
BRASIL;Tangara Logistica E Transportes Eireli - Epp;12900343000191;AV. ADINEI EMIDIO DE ALMEIDA, Nº 1893 - BAIRRO INDUSTRIAL;Cacoal;RO;76960970;fernando@piarara.com.br;1221-0122;1;25;2032
BRASIL;Piarara Transportes Ltda;1746769000116;Rod. BR 364, KM 232, Lote 08-B, Gleba 08, Pavilhão A;Cacoal;RO;76960970; contabilidadetransportes@piarara.com.br;0348-1009;7;11;2029
BRASIL;P & F Transportes Eireli;13564310000180;EST DO BELMONT Nº 9349 KM 04 - BAIRRO NACIONAL;Porto Velho;RO;76801870;gustavoskiadv@gmail.com;0441-0711;10;4;2031
BRASIL;Noroeste Transporte E Serviços Ltda;84552827000106;Rua João Pedro da Rocha, 2740;Porto Velho;RO;76820888;dionemrios@uol.com.br;0462-1111;11;8;2021
BRASIL;Bdx Logística Ltda;17589247000198;ESTRADA DO TERMINAL Nº 400 BAIRRO: PANAIR;Porto Velho;RO;76801370;bdxlogistica@gmail.com;1371-0923;9;1;2033
BRASIL;OCEAN RIVER DO BRASIL LOGISTICA INTEGRADA LTDA;62768709000199;AV LAURO SODRÉ, 1865;Porto Velho;RO;76801501;FISCAL@OCEANRIVER.COM.BR;1521-1125;11;10;2035
BRASIL;Raro Transportes E Com. Imp. E Exp. Ltda;23589040000116;EST. BR 317 KM 02 Nº 1500 - FUNDOS SALA B - ZONA RURAL;Brasiléia;AC;69932000;RARODISTRIBUIDORA@UOL.COM.BR;1047-0120;1;27;2030
BRASIL;Logsul Investy Ltda Me;10541783000174;Rua Parintins, nº 44 - Conjunto Universitário III;Rio Branco;AC;69917748;jonilson.marinho@hotmail.com;0927-0918;9;3;2028
BRASIL;Comércio E Navegação Prates Ltda;4443961000121;MARGEM DIREITA DO RIO NEGRO ESTRADA DO BRITO, CACAU PIRERA, N 06;Iranduba;AM;69421000;financeiro@navegacaoprates.com.br;1355-0623;6;15;2033
BRASIL;F C Transporte E Turismo Eireli;84084383000113;RUA CAROLINA FERNANDES  Nº 1045 - SÃO JOSÉ;Manacapuru;AM;69400797;hpgadelha@gmail.com;1281-0822;8;22;2032
BRASIL;Rio Solimões Navegação E Transportes Ltda;608456000139;Travessa Aniceto Barroso, nº 282, andar 01, sala 03, Bairro Terra Preta,;Manacapuru;AM;69401278;riosolimoesnav@gmail.com;1457-1224;12;9;2034
BRASIL;Pimentel Turismo E Transportes Ltda;7612370000129;TRAVESSA ANICETO BARROSO, Nº 282, 1º ANDAR, SALA 04 - TERRA PRETA;Manacapuru;AM;69401278;pimentelturismoltda@gmail.com;1423-0624;6;3;2034
BRASIL; PP RENT A CAR E TRANSPORTES LTDA;11023327000103; Boulevard Pedro Rattes, nº 2823, sala 01;Manacapuru;AM;69401233;osvana.guedes.mpu@gmail.com;1496-0525;5;12;2035
BRASIL;NAVEGACAO GRIJO SERVICOS DE TRANSPORTES LTDA;14294484000133;TV ANICETO BARROSO Nº 282;Manacapuru;AM;69401278;NAVEGACAOGRIJO@YAHOO.COM.BR;1528-0226;2;24;2036
BRASIL;D S D MANUTENCAO, TRANSPORTE E LOGISTICA LTDA;49358487000178;RUA RIO MUTUZINHO, 1500, SALA B;Manaus;AM;69089050;rs.baus@hotmail.com;1532-0326;3;4;2036
BRASIL;FELIPE LOPES FRANCO LTDA;18054044000160;Rua Rita Teles, nº 15, Quadra e16;Manaus;AM;69098353;agiltransporteslogistica@gmail.com;1524-1225;12;18;2035
BRASIL;AMZ COMÉRCIO E SERVIÇOS DE MÁQUINAS LTDA;18525828000129;Rua PE. Monteiro de Noronha, nº 50;Manaus;AM;69028140;tricia@amzco.com.br;1509-0725;7;22;2035
BRASIL;ALYA SERVIÇOS E LOGÍSTICA LTDA;60319235000172;Avenida dos Oitis, nº 2449;Manaus;AM;69089035;edson.guilherme@alyaservicos.com.br;1517-0925;9;30;2035
BRASIL;JW TRANSPORTES E LOGISTICA LTDA;62325982000149;R JOAQUIM SARMENTO;Manaus;AM;69010020;HEBERTH26.FREITAS@HOTMAIL.COM;1519-1025;10;21;2035
BRASIL;Yamaha Motor Do Brasil Logística Ltda;26278985000105;Rua Rio Jaguarão, nº 1842, galpão 14, sala 1;Manaus;AM;69072055;tributário.jurídico@yamaha-motor.com.br;0805-1116;11;16;2026
BRASIL;ECO LOGÍSTICA TRANSPORTE DE CARGA LTDA;1903750000136;R. RAIMUNDO NONATO DE CASTRO Nº 01 - GALPAO B;Manaus;AM;69037140;pedrobarbosa67@gmail.com;1478-0325;3;13;2035
BRASIL;KODEX LOGISTICA LTDA.;20735946000456;R CORONEL MIRANDA REIS, 443 ;Manaus;AM;69079310;alexandre.kieling@kodexexpress.com;1485-0425;4;4;2035
BRASIL;Orange Cargo Serviço Auxiliar De Transporte Aereo Ltda;23605612000103;RUA DONA BENEDITA CASTELO BRANCO, Nº 1, SALA B - FLORES;Manaus;AM;69058826;cmtediogo@hotmail.com;1182-0721;7;26;2031
BRASIL;OM BOAT LOGÍSTICA LTDA;17026052000130;RUA COMENDADOR J. G. ARAUJO, Nº 13;Manaus;AM;69029130;soraya@ozielmustafa.com.br;0861-0917;9;29;2027
BRASIL;OM BOAT LOGÍSTICA LTDA;17026052000130;RUA COMENDADOR J. G. ARAUJO, Nº 13;Manaus;AM;69029130;legalizacao@jmconsultoria-am.com.br;0861-0917;9;29;2027
BRASIL;Nortesul Logística E Transportes Especializados Eireli;11821060000191;AVENIDA SALVADOR, Nº 120, SALA 508 - ADRIANOPOLIS;Manaus;AM;69057040;marcelo.oliveira@nortesulogistica.com;1235-0322;3;21;2032
BRASIL;Nortexlog Transportes Ltda Me;11094826000183;AVENIDA DO TURISMO Nº 10072 - LETRA C - TARUMÃ;Manaus;AM;69041010;KAUE@NORTEXLOG.COM.BR;1069-0420;4;3;2030
BRASIL;Newlog Agenciamento E Transporte De Cargas Ltda;35336375000101;RUA DOS UIRAPURUS 334 LOTE FAZENDINHA SALA 03  - BAIRRO CIDADE DE DEUS;Manaus;AM;69099415;gianeguerreirocont@hotmail.com;1426-0624;6;18;2034
BRASIL;Rms Logística Ltda-Me;22995633000110;Rua José Maria Moreno, nº 13 - Parque Dez de Novembro;Manaus;AM;69054000;elienesantosrms@hotmail.com;0720-1015;10;22;2025
BRASIL;Roberto L. Da Cruz - Transportes Epp;11699398000112;Avenida do Turismo, Numero 3100, Sala 36 - Taruma;Manaus;AM;69041010;roberto@alliancelog.net;0614-0414;4;2;2024
BRASIL;R A Sa Gomes;34607811000177;RUA VITÓRIA, Nº 48 - GLÓRIA;Manaus;AM;69027731;gustavoskiadv@outlook.com;1196-1021;10;15;2031
BRASIL;R R Serviços De Transporte E Navegação Ltda;4473078000184;RUA VISCONDE DE UTINGA, 20, QD. 11 - BAIRRO FLORES;Manaus;AM;69058810;rr_cidade@hotmail.com;0572-0813;9;13;2033
BRASIL;Pioneiro Combustíveis Ltda;84010040000104;AV. DO TURISMO Nº 7228 - SALA 01 - TARUMÃ;Manaus;AM;69041010;LINDI@PIONEIROBR.COM.BR;1391-1223;12;4;2033
BRASIL;Ponta Negra Soluções Logísticas E Transportes Ltda;6522265000136;Alameda Cosme Ferreira, nº 1877 - E - Aleixo;Manaus;AM;69083000;fpnl@gbringel.com;0910-0718;7;13;2028
BRASIL;Pronto Cargo Do Brasil Ltda;13639824000158;Rua Padre Monteiro de Noronha, nº 248 - Flores;Manaus;AM;69028140;paulo.vinholy@prontocargo.com.br;0751-0516;5;10;2026
BRASIL;Pronto Cargo Farma Ltda;44142950000126;AV TORQUATO TAPAJOS, Nº 7503 - TARUMÃ;Manaus;AM;69041025;maroun.saab@prontocargo.com.br;1266-0622;6;21;2032
BRASIL;Lse Logística Soluções Empresariais Ltda;13518649000140;RUA HIDRA 188 - PORTÃO A, BAIRRO SANTO AGOSTINHO;Manaus;AM;69036520;emerson.moreira@lse.vlog.br;0499-0712;7;24;2022
BRASIL;Lsl Transportes Da Amazônia Ltda;21026335000159;Rua Juruá, nº 160, Sala III - Distrito Industrial I;Manaus;AM;69075120;contato@grupolsl.com.br;0833-0617;6;1;2027
BRASIL;M2M Consultoria E Logistica Multimodal Limitada;42143865000157;RUA PROFESSORA TEREZA ANDRADE, Nº 78, TÉRREO - ALVORADA;Manaus;AM;69048350;consultoriam2m@hotmail.com;1353-0523;5;31;2033
BRASIL;Lbs - Transporte De Cabotagem E Logística Ltda - Me;63730014000180;Avenida Curação, nº 1, quadra 405, sala 01 -  Cidade Nova;Manaus;AM;69097235;alice.varjao@mvcomercioeservicos.com.br;0677-0615;6;10;2025
BRASIL;Link Soluções Em Logística Integrada Ltda;6044947000180;AV DA FLORESTA, 5.800 - LOTEAMENTO JARDIM TARUMANZINHO - TARUMÃ-AÇU;Manaus;AM;69022332;gustavoskiadv@outlook.com;0501-0812;10;29;2034
BRASIL;LLS TRANSPORTE E AGENCIAMENTO DE CARGAS LTDA;15564129000108;Rua Desembargador Luis Felismino Caral, nº 218, conj. Beija Flor II - Bairro Flores;Manaus;AM;69028330;marcelo.lara@essencialcargo.com.br;0734-1215;7;30;2035
BRASIL;LLS TRANSPORTE E AGENCIAMENTO DE CARGAS LTDA;15564129000108;Rua Desembargador Luis Felismino Caral, nº 218, conj. Beija Flor II - Bairro Flores;Manaus;AM;69028330;financeiro@essencialcargo.com.br;0734-1215;7;30;2035
BRASIL;Loc Guindastes Locações E Transportes Ltda;42725389000182;AV. SOLIMOES, Nº 1874 - MAUAZINHO;Manaus;AM;69075715;gustavoskiadv@outlook.com;1200-1021;10;28;2031
BRASIL;Milly Transportes Ltda;34989647000100;Avenida 7 de maio, 2015 - Santa Etelvina;Manaus;AM;69059140;gerencia@millytransportes.com;1301-1022;10;5;2032
BRASIL;Tomiasi Transportes Ltda;84488550000191;Rua Zebu, Nº 01, Lote B - Colônia Oliveira Machado;Manaus;AM;69074160;jeany@tomiasi.com.br;0314-1108;11;19;2018
BRASIL;Top Service Comércio E Serviços De Manutenção Industrial Ltda;9007471000104;AV. CORONEL CYRILLO NEVES, Nº 1010 - G1 F - COMPENSA;Manaus;AM;69035350;topservice@topservicebrasil.com.br;0878-1217;12;21;2027
BRASIL;Selenetur Agência De Viagens E Turismo Eireli - Epp;34516450000153;Av. Jacira Reis, nº 213, sala 03 a 05, conj. Kissia - Dom Pedro I;Manaus;AM;69040270;marcio.perez@selenetur.com.br;0944-1018;10;17;2028
BRASIL;Solution Logística Multimodal Ltda;8891893000114;Av. ANDRE ARAUJO, 97 EDF FORUM SALA 1305 BAIRRO ADRIANOPOLIS;Manaus;AM;69057025;idalecio@solutionlogistica.com.br;0266-1107;10;3;2034
BRASIL;Sc Transportes Ltda;4330304000178;Avenida Djalma Batista, nº 1719 - pavimento 14, sala 1408 B  - Edificio Atlantic - Chapada;Manaus;AM;69050010;henriques@socorrocarvalho.com.br;0690-0715;7;9;2025
BRASIL;Sd Logística E Transporte Multimodal Eireli;6820212000100;Rua Dr. Amaro Alencar, nº 620 - São Raimundo;Manaus;AM;69027031;COMERCIALPR@SDMULTIMODAL.COM.BR;0426-0111;2;22;2031
BRASIL;Rvs Serviços Da Construção Civil Eireli;22299597000150;RUA MIRANDA SIMÕES, Nº 8, QD F, SALA 11, CONJ ADRIANÓPOLIS - ADRIANÓPOLIS;Manaus;AM;69057067;rvs.com.servicos@gmail.com;1256-0522;5;18;2032
BRASIL;S S Transporte E Logística Ltda;51412204000170;BC CAIRE, nr 12, Bairro Aleixo;Manaus;AM;69060707;CONTATO@SSTRANSPORTE.COM;1379-0923;9;22;2033
BRASIL;Veloceprime Transportes Ltda;56119835000110;AV. SETE DE MAIO, Nº 63, AME 1029, SALA 04;Manaus;AM;69059140;miguel@veloceprimetransportes.com.br;1448-1024;10;7;2034
BRASIL;TRANSGLOBAL SERVIÇOS LTDA;1362266000147;Travessa do Seringal, n° 94;Manaus;AM;69075709;tgs@tgstransglobal.com.br;0095-0805;7;21;2035
BRASIL;Transpor Logistica E Transporte Ltda;44657313000192;AV RODRIGO OTAVIO, Nº 2890, SALA 01B - DISTRITO INDUSTRIAL I;Manaus;AM;69075005;joaoamarildodutra@gmail.com;1236-0322;3;30;2032
BRASIL;Transportes Carinhoso Ltda;1568020000126;Av. Puraquequara, 3.700 - Bairro Puraquequara;Manaus;AM;69083000;t.carinhoso@tcarinhoso.com.br;0379-0410;4;16;2020
BRASIL;Transgatão Transportes E Comércio De Materiais De Construção E Estivas Ltda - Epp;7244914000147;Rua Halésia, nº 430, quadra 08, lote 26, loteamento Rio Piorini, Colônia Terra Nova;Manaus;AM;69015613;transgatao@hotmail.com;0653-1214;12;9;2034
BRASIL;Trairi Comércio De Derivados De Petróleo Ltda;4811052000107;Rua São Luis, nº 80 - Adrianopolis;Manaus;AM;69057250;karinaamaral@tcdnavegacao.com.br;0915-0818;8;2;2028
BRASIL;F H De Oliveira Peixoto - Eireli;15809486000180;Av. Professor Paulo Graças, nº 2505 - Tarumã-Açú;Manaus;AM;69023165;francisco@fhopeixoto.com.br;0844-0717;7;4;2027
BRASIL;F. S. Neves Ltda;23036429000134;Av. da Floresta, 5.800, Loteamento Jardim Tarumanzinho, Sala 01 - Tarumã-Açu;Manaus;AM;69022332;faleconosco@brbrigida.com;1306-1022;10;20;2032
BRASIL;SPEED TRANSPORTE MULTIMODAL DE CARGAS LIMITADA;31145051000135;Av. Solimões, nº 500, Sala 04;Manaus;AM;69007004;engeman.gerencia@gmail.com;0966-0119;1;18;2029
BRASIL;SPEED TRANSPORTE MULTIMODAL DE CARGAS LIMITADA;31145051000135;Av. Solimões, nº 500, Sala 04;Manaus;AM;69007004;FISCAL@EXCELENCIACONTABIL.NET;0966-0119;1;18;2029
BRASIL;Entre Pontos Serviços De Logistica Ltda;26915771000100;Rua Campos Bravos, nº 480, Redenção;Manaus;AM;69047000;gustavoskiadv@outlook.com;1431-0724;7;12;2034
BRASIL;Francis José Chehuan & Cia Ltda;4819181000133;Avenida Pedro Teixeira, nº 1552, sala A - Dom Pedro I;Manaus;AM;69040000;f-chehuan@hotmail.com;0215-1106;10;8;2031
BRASIL;Fs Transporte E Logística Eireli;36779318000160;AVENIDA TORQUATO TAPAJÓS, nº 5580, LOTE B, LJ 07 - BAIRRO DA PAZ;Manaus;AM;69048010;gerencia@fslogmao.com.br;1191-0821;8;20;2031
BRASIL;Fs Despachos Aduaneiros Ltda;25097573000106;RUA LATINO COELHO, 02 QD 03 SALA 01 CONJ. ARUANÃ - COMPENSA;Manaus;AM;69036420;contabil@codama.com.br;0847-0717;7;5;2027
BRASIL;Eficácia Transportes Ltda;3642171000102;Av. Puraquequara, nº 777, Sala B - Puraquequara;Manaus;AM;69009000;administrativo@hr.log.br;1357-0623;6;28;2033
BRASIL;D C Guedes Representação Comercial, Transporte De Cargas Ltda ;15425851000153;RUA CARDINAL, Nº 2075, QD 12 LT 01-02 PQ DEZ, TARUMA;Manaus;AM;69022123;daianne_cguedes@hotmail.com;1370-0823;8;31;2033
BRASIL;D Silva Oliveira - Me;12726019000107;Av. Barão do Rio Branco, nº 1527, sala 14 - Parque das Laranjeiras;Manaus;AM;69058581;jbinfolog@gmail.com;0707-0915;9;9;2025
BRASIL;Delima Comércio E Navegação Ltda;5089941000167;RUA DESEMBARGADOR CESAR DO REGO, Nº 850, SALA 03, COLÔNIA ANTÔNIO ALEIXO;Manaus;AM;69008445;delima@delimanavegacao.com.br;0508-0812;8;30;2022
BRASIL;H & R Transportes Ltda;1747038000195;AV PURAQUEQUARA, Nº 777, SALA A - PURAQUEQUARA;Manaus;AM;69009000;hugo.willian@hrlog.net;1245-0522;5;5;2032
BRASIL;H P Logística E Navegação Multimodal Ltda;10526719000114;Avenida Puraquequara nº 500 - Galpão A - Puraquequara;Manaus;AM;69009000;thalles@excelenciacontabil.net;0969-0119;1;21;2029
BRASIL;I D Saraiva De Oliveira Logistica;13426271000155;RUA BARÃO DO SURUÍ, Nº 11, QD 17, LT PQ LARANJEIRAS - FLORES;Manaus;AM;69058260;controladoria@idslogistica.com.br;1326-0822;8;5;2032
BRASIL;Ils Integrated Logistic Solutions Consulting Brasil Ltda;4866319000155;AV BISPO PEDRO MASSA, Nº 12, QUADRA140 CJ CN ET 2 NC 6 SALA 01;Manaus;AM;69095160;elcio.mori@hotmail.com;1260-0522;5;24;2032
BRASIL;Kinglog Transportes Multimodais Ltda;26002003000158;Avenida Desembargador João Machado, sala 31, Pavilhão 01, nº 597 - Alvorada;Manaus;AM;69042360;ivonepaula@aliancalogistic.com.br;0800-1016;10;19;2026
BRASIL;L P Transportes Carga E Descarga Ltda;7866382000180;R HIDRA 99 SALA 01;Manaus;AM;69036520;lptransportescargas@yahoo.com;1412-0324;3;15;2034
BRASIL;Jxp Projetos E Logistica Ltda;43713271000105;R RITA TELES, 06 - QD E11 LT 06 LT AGU;Manaus;AM;69098353;ANDRE.GONCALVES@JXPLOGISTICA.COM.BR;1450-1024;10;30;2034
BRASIL;Jr Transportes Ltda Epp;84462290000185;Rua Paulo Eduardo de Lima, nº 66, conj. Ribeiro Junior - Cidade Nova;Manaus;AM;69095500;jrtrans@gmail.com;0736-0116;1;22;2026
BRASIL;J Cruz Serviços Administrativos Para Terceiros Ltda;2236769000139;AVENIDA  COSME FERREIRA 362 - SALA 107 - COROADO;Manaus;AM;69082230;jcservi@hotmail.com;0511-0912;9;5;2022
BRASIL;J Holanda Pinheiro;46474636000176;RUA DOMINGOS LEITE Nº 65 - DA PAZ;Manaus;AM;69048020;JEDDSON93@ICLOUD.COM;1295-0922;9;29;2032
BRASIL;J R Da Silva Comercio Me;10224658000130;RUA EMILIO MOREIRA, Nº 221, CASA 01 - CENTRO;Manaus;AM;69020245;muticomercio@gmail.com;1189-0821;8;11;2031
BRASIL;J Rivelino Moreira Ltda;17119598000135;AV COSME FERREIRA  Nº 2324  LOJA A - BAIRRO COROADO;Manaus;AM;69082230;contabil.ems.am@gmail.com;1444-0924;9;19;2034
